Fiscal Year,DISTRICT,STATE,Company Name,ASSETS(MILLIONS),Assets Status,LIABILITIES(MILLIONS),Liabilities Status
2009,SD,NY,Lehman Brothers Holdings Inc.,639000.00,Reported,613000.00,Reported
2009,SD,NY,General Motors Corp.,82290.00,Reported,172819.00,Reported
2010,SD,NY,CIT Group Inc.,71019.20,Reported,64901.20,Reported
2011,SD,NY,MF Global Holdings LTD,41000.00,Reported,39700.00,Reported
2009,SD,NY,Chrysler LLC. et al.,39300.00,Reported,55200.00,Reported
2009,D,DE,Washington Mutual Inc.,32896.60,Reported,8167.00,Reported
2009,SD,NY,General Growth Properties Inc.,29557.30,Reported,27293.70,Reported
2009,D,MD,Thornburg Mortgage,24400.00,Reported,24700.00,Reported
2010,ND,TX,Guaranty Financial Group Inc. et al.,15391.00,Reported,14390.00,Reported
2009,ND,TX,Guaranty Financial Group Inc. et al.,15391.00,Reported,14390.00,Reported
2009,SD,NY,Charter Communications Corp.,13881.00,Reported,24185.00,Reported
2009,D,DE,Nortel Networks Inc.,11600.00,Reported,11800.00,Reported
2009,WD,TX,Spectrum Brands Inc.,10074.40,Reported,4445.80,Reported
2009,D,DE,Abitibibowater Inc.,9937.00,Reported,2213.00,Reported
2009,D,DE,Smurfit-Stone Container Corp.,7420.00,Reported,5582.00,Reported
2009,D,DE,Semgroup LP,6140.00,Reported,7530.00,Reported
2009,D,NV,Station Casinos Inc.,5725.00,Reported,6482.60,Reported
2010,D,DE,Visteon Corp.,4577.03,Reported,5324.03,Reported
2009,D,DE,Spansion Inc.,3840.00,Reported,2398.00,Reported
2009,ND,TX,Pilgrim's Pride Corporation,3751.80,Reported,2719.00,Reported
2009,D,DE,Versun Energy Corp.,3453.00,Reported,1913.20,Reported
2009,ED,VA,Circuit City Stores Inc.,3400.10,Reported,2323.30,Reported
2009,ED,VA,LandAmerica Financial Group Inc.,3325.10,Reported,2839.80,Reported
2010,SD,NY,FairPoint Communications,3235.60,Reported,3234.47,Reported
2010,D,DE,Vion Pharmaceuticals Inc.,3030.85,Reported,2366.24,Reported
