State,Sum of ASSETS(MILLIONS),Sum of LIABILITIES(MILLIONS)
NY,935614.87,1026300.095
DE,107342.13,70775.187
TX,51022.11,49020.67
MD,24423.3,24737.3
VA,7701.4,6160.7
NV,7186.56,8348.74
CA,5923.78,2538.61
WA,1536.18,1537.97
NJ,1146.44,33.991
WI,910.8,617.2
GA,907.4,733.58
IL,837.62,956.84
CO,798.1,199.03
OH,612.5,781.31
KA,512.9,447.4
FL,479.19,1062.62
MI,294.5,173.1
AK,206.2,281.2
LA,169.3,110.6
MN,102.4,2111.6
AZ,102.26,72.47
(blank),75,170
AL,45,380
PR,40,421
MA,38.53,209.3
DFL,37,34
ID,11.7,14.2
TN,10.8,3.2
KY,9.76,10.19
KS,7.4,31.06
NE,2.08,2.07
OK,1.9,57.4
NC,1.2,12.4
Grand Total,1148110.31,1198345.033
